meter_id,local_interval_datetime,kwh,voltage,rssi,pf
Customer_Meter_3,2022-09-01T00:00:00Z,23.52,286.23,-84,0.97
Customer_Meter_3,2022-09-01T00:15:00Z,23.48,281.62,-62,0.91
Customer_Meter_3,2022-09-01T00:30:00Z,23.52,282.78,-63,0.91
Customer_Meter_3,2022-09-01T00:45:00Z,23.52,288.15,-73,0.98
Customer_Meter_3,2022-09-01T01:00:00Z,23.48,280.7,-82,0.91
Customer_Meter_3,2022-09-01T01:15:00Z,23.52,284.45,-70,0.98
Customer_Meter_3,2022-09-01T01:30:00Z,23.52,280.3,-57,0.92
Customer_Meter_3,2022-09-01T01:45:00Z,23.52,286.34,-83,0.94
Customer_Meter_3,2022-09-01T02:00:00Z,23.52,286.24,-80,0.93
Customer_Meter_3,2022-09-01T02:15:00Z,23.48,286.48,-76,0.94
Customer_Meter_3,2022-09-01T02:30:00Z,23.48,285.48,-59,0.92
Customer_Meter_3,2022-09-01T02:45:00Z,23.48,286.51,-54,0.91
Customer_Meter_3,2022-09-01T03:00:00Z,23.52,283.02,-82,0.95
Customer_Meter_3,2022-09-01T03:15:00Z,23.52,283.1,-71,0.96
Customer_Meter_3,2022-09-01T03:30:00Z,23.48,283.31,-61,0.91
Customer_Meter_3,2022-09-01T03:45:00Z,23.52,282.31,-81,0.93
Customer_Meter_3,2022-09-01T04:00:00Z,23.48,286.38,-70,0.92
Customer_Meter_3,2022-09-01T04:15:00Z,23.48,280.96,-56,0.91
Customer_Meter_3,2022-09-01T04:30:00Z,23.52,283.82,-62,0.91
Customer_Meter_3,2022-09-01T04:45:00Z,23.48,279.28,-63,0.98
Customer_Meter_3,2022-09-01T05:00:00Z,23.52,284.38,-67,0.96
Customer_Meter_3,2022-09-01T05:15:00Z,23.48,287.18,-68,0.96
Customer_Meter_3,2022-09-01T05:30:00Z,23.6,281.61,-64,0.98
Customer_Meter_3,2022-09-01T05:45:00Z,23.56,279.3,-56,0.94
Customer_Meter_3,2022-09-01T06:00:00Z,23.64,284.85,-54,0.94
Customer_Meter_3,2022-09-01T06:15:00Z,23.72,280.73,-66,0.99
Customer_Meter_3,2022-09-01T06:30:00Z,23.68,281.46,-61,0.9
Customer_Meter_3,2022-09-01T06:45:00Z,23.64,279.34,-72,0.93
Customer_Meter_3,2022-09-01T07:00:00Z,23.68,281.21,-75,0.91
Customer_Meter_3,2022-09-01T07:15:00Z,23.68,285.76,-55,0.99
Customer_Meter_3,2022-09-01T07:30:00Z,23.64,280.2,-61,0.92
Customer_Meter_3,2022-09-01T07:45:00Z,23.68,286.52,-61,0.92
Customer_Meter_3,2022-09-01T08:00:00Z,23.64,280.88,-59,0.95
Customer_Meter_3,2022-09-01T08:15:00Z,23.6,279.31,-58,0.97
Customer_Meter_3,2022-09-01T08:30:00Z,23.68,285.33,-52,0.99
Customer_Meter_3,2022-09-01T08:45:00Z,23.64,280.5,-77,0.96
Customer_Meter_3,2022-09-01T09:00:00Z,23.64,283.88,-58,0.99
Customer_Meter_3,2022-09-01T09:15:00Z,23.68,282.02,-78,0.95
Customer_Meter_3,2022-09-01T09:30:00Z,23.64,279.84,-78,0.97
Customer_Meter_3,2022-09-01T09:45:00Z,23.64,285.96,-52,0.96
Customer_Meter_3,2022-09-01T10:00:00Z,23.6,281.52,-56,0.98
Customer_Meter_3,2022-09-01T10:15:00Z,23.6,288.23,-68,0.91
Customer_Meter_3,2022-09-01T10:30:00Z,23.72,282.53,-60,0.92
Customer_Meter_3,2022-09-01T10:45:00Z,23.68,280.1,-57,0.91
Customer_Meter_3,2022-09-01T11:00:00Z,23.64,282.92,-79,0.94
Customer_Meter_3,2022-09-01T11:15:00Z,23.68,281.73,-59,0.97
Customer_Meter_3,2022-09-01T11:30:00Z,23.64,281.17,-67,0.96
Customer_Meter_3,2022-09-01T11:45:00Z,23.64,286.18,-78,0.94
Customer_Meter_3,2022-09-01T12:00:00Z,23.64,283.88,-59,0.92
Customer_Meter_3,2022-09-01T12:15:00Z,23.6,279.18,-62,0.95
Customer_Meter_3,2022-09-01T12:30:00Z,23.52,285.92,-77,0.95
Customer_Meter_3,2022-09-01T12:45:00Z,23.68,279.64,-63,0.98
Customer_Meter_3,2022-09-01T13:00:00Z,23.56,280.72,-57,0.93
Customer_Meter_3,2022-09-01T13:15:00Z,23.6,285.36,-83,0.9
Customer_Meter_3,2022-09-01T13:30:00Z,23.56,288.26,-76,0.98
Customer_Meter_3,2022-09-01T13:45:00Z,23.56,280.22,-67,0.95
Customer_Meter_3,2022-09-01T14:00:00Z,23.48,280.25,-57,0.91
Customer_Meter_3,2022-09-01T14:15:00Z,23.52,281.56,-76,0.95
Customer_Meter_3,2022-09-01T14:30:00Z,23.56,280.6,-78,0.96
Customer_Meter_3,2022-09-01T14:45:00Z,23.52,280.6,-75,0.99
Customer_Meter_3,2022-09-01T15:00:00Z,23.52,282.89,-80,0.92
Customer_Meter_3,2022-09-01T15:15:00Z,23.56,280.82,-80,0.95
Customer_Meter_3,2022-09-01T15:30:00Z,23.56,278.98,-79,0.9
Customer_Meter_3,2022-09-01T15:45:00Z,23.52,282.3,-54,0.9
Customer_Meter_3,2022-09-01T16:00:00Z,23.56,286.98,-60,0.97
Customer_Meter_3,2022-09-01T16:15:00Z,23.52,279.36,-59,0.97
Customer_Meter_3,2022-09-01T16:30:00Z,23.52,284.64,-72,0.92
Customer_Meter_3,2022-09-01T16:45:00Z,23.52,285.33,-81,0.96
